Question,ResultId,ResultScore,ResultURL,ResultTitle,ResultRank,ResultText,Score
Who is Oliver Cowdery?,a54755036e0fbd5f60bc431d0be7550fafa969655ac3d4d7dd479dee78ac0a2c,0.779237568,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",7,"Oliver Cowdery (1806-1850) was next in authority to Joseph Smith in 1830 (D&C 21:10-12), and was a second witness of many critical events in the restoration of the gospel. As one of the three Book of Mormon Witnesses, Oliver Cowdery testified that an angel displayed the gold plates and that the voice of God proclaimed them correctly translated. He was with Joseph Smith when John the Baptist restored to them the Aaronic Priesthood and when Peter, James, and John ordained them to the Melchizedek Priesthood and the apostleship, and again during the momentous Kirtland Temple visions (D&C 110).",3.0
Who is Oliver Cowdery?,63898d661f9e6cee8cf4199d7f56f8154e3b131d85e3e79ed4116c8ac3a1019a,0.915725887,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / The Why,2,"Oliver continued to be an asset beyond the translation as he transcribed the printer's manuscript and oversaw the printing process. Having this back-up copy of the entire Book of Mormon has proved to be more than just of incidental importance. Although only about 25–30 percent of the Original Manuscript has survived,19 all but three lines of the Printer's Manuscript is intact and readily available as a phenomenal resource in studying and confirming the words originally dictated by the Prophet.20

Oliver was also called and trusted by God to be one of the Three Witnesses who saw the angel Moroni and the gold plates. His role as witness was important enough to have been prophesied centuries before by Nephi and Moroni (2 Nephi 27:12; Ether 5:4). Oliver's testimony of the Book of Mormon was of vital importance his entire life. Even while out of the Church, Oliver was insistent that his validity as a witness to the Book of Mormon and other restoration events in no way be discredited.21 In many minds, his time away from the Church strengthens the credibility of his testimony.

Once the book was printed, he was among the first to take the Book of Mormon to the world. He also served as Assistant President of the Church (1834–1837), and he, together with Martin Harris and David Whitmer, ordained the first members of the Quorum of the Twelve Apostles in 1835. Oliver's personal sacrifices as a scribe, witness, missionary, and in his many other roles as one of the founding leaders of the Church deserve the utmost gratitude from all who embrace the Book of Mormon.",2.0
Who is Oliver Cowdery?,0684a7ed32d0dfe2cd20f8055b45686c1d4853dadea848b778f03894a1217269,0.757119894,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",20,"While boarding with Joseph Smith's parents, he learned of their convictions about the ancient record that their son was again translating after Martin Harris had lost the manuscript in 1828. The young teacher prayed and received answers that Joseph Smith mentioned in a revelation (D&C 6:14-24). The Prophet's first history states the ""Lord appeared unto&#133;Oliver Cowdery and shewed unto him the plates in a vision and&#133;what the Lord was about to do through me, his unworthy servant. Therefore he was desirous to come and write for me to translate"" (*PJS* 1:10).

From April 7 through the end of June 1829, when they finished the translation, Joseph dictated while Oliver wrote, with ""utmost gratitude"" for the privilege (*Messenger and Advocate* 1:14). Oliver penned a letter then, expressing deep love for Christ, a lifetime theme. He later told how he and Joseph interrupted their work as they were translating the record of the Savior's post-resurrection American ministry, and how, as they prayed about baptism, they heard the ""voice of the Redeemer"" and were ministered to by John the Baptist, who gave them authority to baptize (JS-H 1:71,note).

In 1835 Oliver helped Joseph Smith correct and publish the revelations for the Doctrine and Covenants. Section 27 lists the major priesthood messengers of the restoration: John the Baptist, whom ""I have sent unto you, my servants, Joseph Smith, Jr., and Oliver Cowdery, to ordain you unto this first priesthood"" (D&C 27:8); and ""Peter, James, and John, whom I have sent unto you, by whom I have ordained you and confirmed you to be apostles and especial witnesses of my name, and bear the keys of your ministry"" (D&C 27:12).",2.0
Who is Oliver Cowdery?,895a39e0e8df3f102e1b21628f720fac05fc3db04507bcd4ead89607a4c1c953,0.778799951,https://evidencecentral.org/recency/evidence/oliver-cowdery#,Book of Mormon Evidence: Oliver Cowdery / ABSTRACT / EVIDENCE SUMMARY,8,"Oliver Cowdery was Joseph Smith's primary scribe during the translation of the Book of Mormon, and had already received angelic ministrations with Joseph Smith by the time he went out into the woods with Joseph, David Whitmer, and Martin Harris to seek the promised view of the plates (see D&C 17).1 According to the official statement printed in every edition of the Book of Mormon, Oliver, David, and Martin testified ""that an angel of God came down from heaven, and he brought and laid before our eyes, that we beheld and saw the plates and the engravings thereon.""2 The earliest extant copy of this statement is in Oliver Cowdery's handwriting.3",2.0
Who is Oliver Cowdery?,e34b5f52dc5fcddbd5f37e7b6fec41d92ab2155e7819aa52f8c6c6fd0ed65bc0,0.902169228,https://doctrineandcovenantscentral.org/people-of-the-dc/oliver-cowdery/#,Oliver Cowdery,5,"After receiving his education in Vermont and New York, Oliver became a schoolteacher. While teaching school in Manchester, New York in 1829, he learned of Joseph Smith and his angelic visitations. When the school term ended in April 1829 Oliver and Samuel Smith, the brother of Joseph Smith, journeyed to Harmony, Pennsylvania, for the purpose of seeing Joseph and learning more about his heavenly visitations and the gold plates. ""Near the time of the setting of the Sun, Sabbath evening, April 5th, 1829, my natural eyes, for the first time beheld this brother,"" wrote Oliver. ""On Tuesday the 7th, [I] commenced to write the book of Mormon.""1

From April 1829 to April 1838 Oliver Cowdery was a close associate and friend of the Prophet Joseph. He scribed most of the Book of Mormon as Joseph translated the sacred writ. On May 15, 1829 he and Joseph received the Aaronic Priesthood on the banks of the Susquehanna River from John the Baptist and the Melchizedek Priesthood from ancient apostles Peter, James, and John a few weeks later. Several of the early revelations in the Doctrine and Covenants were instructions to Oliver, who was named the second elder of the Church at the organizational meeting in Fayette, New York.",2.0
Who is Oliver Cowdery?,8cc4a749c4fed794b0dc0c23c225fba46f53834ad7e79101010c2b00d9beb05a,0.760142,https://knowhy.bookofmormoncentral.org/knowhy/how-important-was-oliver-cowdery-in-bringing-forth-the-book-of-mormon#,How Important was Oliver Cowdery in Bringing Forth the Book of Mormon? / The Know,18,"When the translation was nearly complete, on ""a clear, open beautiful day"" in late June, Oliver joined David Whitmer and Martin Harris as one of the Three Witnesses to the Book of Mormon.7,"" KnoWhy 267 (January 27, 2017). Gale Yancey Anderson, ""Eleven Witnesses Behold the Plates,"" Journal of Mormon History 38, no. 2 (Spring 2012): 146–152 reasoned that it was Sunday, June 28, 1829."") Only a few months later, in November 1829, Oliver described the vision to a newspaper editor, boldly testifying, ""we saw the record … brought and laid before us, by an angel arrayed in glorious light.""8: 194"")

Oliver stood by his witness of the Book of Mormon, even while estranged from the Church.9, 37–65 for a review of Oliver Cowdery's witness of the Book of Mormon. For a response to critics who try to diminish Oliver's testimony, see Larry E. Morris, ""'The Private Character of the Man Who Bore that Testimony': Oliver Cowdery and His Critics,"" FARMS Review 15, no. 1 (2003): 311–351, reprinted in Oliver Cowdery: Scribe, Elder, Witness, 281–319. See also Richard Lloyd Anderson, ""The Credibility of the Book of Mormon Translators,"" in Book of Mormon Authorship: New Light on Ancient Origins, ed. Noel B. Reynolds (Provo, UT: Religious Studies Center, Brigham Young University, 1982; reprinted by FARMS, 1996), 213–237."") Toward the end of his life, he was re-baptized, testifying, ""I beheld with my eyes, and handled with my hands, the gold plates from which it was translated.""10",2.0
Who is Oliver Cowdery?,f9b6efcb759e6a1d44495021a1aac25249ea6e03a71606c715af2fce77b26340,0.898645699,https://knowhy.bookofmormoncentral.org/knowhy/why-were-three-key-witnesses-chosen-to-testify-of-the-book-of-mormon#,Why Were Three Key Witnesses Chosen to Testify of the Book of Mormon? / The Know,7,"Oliver Cowdery acted as Joseph's primary scribe,11 and throughout his ministry served as a ""second witness of many critical events in the restoration of the gospel.""12, 1."") For instance, during the period of translation, he, with Joseph Smith, received the Aaronic and Melchizedek Priesthoods from angelic messengers.13, 73–89."")

Shortly after rejoining the Church, and in a public speech recorded by Reuben Miller, Cowdery stated, ""I beheld with my eyes. And handled with my hands the gold plates from which [the Book of Mormon] was translated. I also beheld the Interpreters. That book is true.""14. For further information regarding Miller's account of Oliver Cowdery's testimony, see Richard Lloyd Anderson, ""Reuben Miller, Recorder of Oliver Cowdery's Reaffirmations,"" in Oliver Cowdery, 401–417."")

Oliver Cowdery

According to Richard L. Anderson, throughout Cowdery's life, ""He told the same simple story of the vision, whether under privation, persecution, resentment against the translator of the Book of Mormon, ridicule by non-Mormons, or knowledge of imminent death.""15

Whereas Oliver Cowdery sacrificed considerable time and energy to help with the translation process, Martin Harris fronted ""the entire cost of the publication of the Book of Mormon"" by mortgaging ""most of his property.""16 Harris also spent considerable time and energy seeking to authenticate the characters on the gold plates.17

When asked by the twelve-year-old William Glenn if he had indeed seen the plates and the angel, Harris declared, ""Gentlemen, do you see that hand? Are you sure you see it? Are your eyes playing you a trick or something? No. Well, as sure as you see my hand so sure did I see the angel and the plates.""18 With similar conviction, and often using similar analogies with concrete descriptions, Martin Harris reaffirmed his testimony over and over throughout his long life.19: 5–27."")

David Whitmer",3.0
Who is Oliver Cowdery?,cc0f74a305068fc7825615429e576bd93f76ae673d2938f1b3633da2c604c711,0.897921145,"https://eom.byu.edu/index.php?title=Cowdery,_Oliver#","Cowdery, Oliver",8,"Few exceeded Cowdery in logical argument and elevated style. Moreover, his speeches and writings carry the tone of personal knowledge. Generally serving as editor or associate editor in the first publications of the Church, Oliver wrote with unusual consistency through two decades of published writings and personal letters. He insisted that a relationship with God required constant contact: ""Whenever [God] has had a people on earth, he always has revealed himself to them by the Holy Ghost, the ministering of angels, or his own voice"" (*Messenger and Advocate* 1:2). Oliver Cowdery led the Lamanite mission, the first major mission of the Church (D&C 28:8;30:5), which doubled Church membership and took the Book of Mormon to Native Americans. After the temple site was designated in Jackson County in 1831, he traveled there with copies of the revelations for their first printing. Because publishing was vital for spreading the gospel and instructing members, Oliver was called to work with William W. Phelps, an experienced editor (D&C 55:4;57:11-13). After Missouri ruffians destroyed the press, Cowdery returned to Ohio to counsel with Church leaders, who assigned him to relocate Church publications there. Because of the importance of accurate information, he and Sidney Rigdon remained in Ohio in 1834 when many faithful men marched to Missouri with Zion's Camp to assist the Saints in returning to their homes and land in Jackson County.

In 1830-1831, Oliver Cowdery served as the first Church Recorder, a calling he again resumed between 1835 and 1837 (see Historians, Church). Even in other years, he often kept the official minutes of meetings, and was often editor and contributor for the first Church newspapers. He wrote articles for the messenger and advocate that help document early LDS history. From June to October 1830, Oliver served as scribe while the Prophet completed important portions of the Joseph Smith Translation of the Bible.",3.0
Who is Oliver Cowdery?,efbeb76000959da219dcf76cce77a18ccf2f8d894fda15678d2c8cf0fbe66041,0.896524727,https://www.churchofjesuschrist.org/study/general-conference/1972/10/why-the-church-of-jesus-christ-of-latter-day-saints?lang=eng#p24,Why The Church of Jesus Christ of Latter-day Saints,9,"The Aaronic Priesthood he received in May of 1829. While translating the Savior's teachings concerning baptism as they are recorded in the Book of Mormon, he and his scribe, Oliver Cowdery, besought the Lord for further light upon the subject. As they knelt in prayer they were visited by a heavenly messenger who said that his name was ""John, the same that is called John the Baptist in the New Testament."" This messenger laid his hands upon their heads and said:

""Upon you my fellow servants, in the name of Messiah, I confer the Priesthood of Aaron, which holds the keys of the ministering of angels, and of the gospel of repentance, and of baptism by immersion for the remission of sins. …"" (D&C 13.)

A few weeks later Peter, James, and John conferred upon Joseph and Oliver the Melchizedek Priesthood and ordained them apostles. (See Documentary History of the Church, vol. 1, p. 40.)",3.0
Who is Oliver Cowdery?,796e5469d8ac8b2bca4d760dd3a976c335ac13b18508e7a937c1ef261fe5a65d,0.895849764,"https://eom.byu.edu/index.php?title=Smith,_Joseph#","Smith, Joseph / Smith, Joseph: The Prophet",10,"Translation resumed in the fall of 1828, continuing intermittently until the spring of 1829. Then Oliver Cowdery, a schoolteacher who learned of the plates from Joseph's parents, believed in Joseph and agreed to take dictation. From April to June 1829 they labored together. When the two friends prayed on May 15 for an understanding of baptism, a messenger who announced himself as John the Baptist appeared, conferred priesthood authority upon them, and instructed them to baptize each other (see Aaronic Priesthood: Restoration). Oliver later wrote: ""These were days never to be forgotten-to sit under the sound of a voice dictated by the inspiration of heaven, awakened the utmost gratitude of this bosom"" (JS-H 1:71n).

Oliver was not the only additional witness to the revelations. When opposition began to build in Harmony, Oliver and Joseph moved in June 1829 to Fayette, New York, to the family home of Oliver's friend David Whitmer. Here again Joseph received needed support from people who believed in him. Once the translation was completed, Joseph was told that others would be allowed to see the plates, which until that time only he had viewed. The angel Moroni appeared to Martin Harris, Oliver Cowdery, and David Whitmer and showed them the gold plates while a voice from heaven declared that the translation was done by the power of God and was true (see Book of Mormon Witnesses). Joseph's mother reported that Joseph came into the house after this revelation and threw himself down beside her, exclaiming that at last someone else had seen the plates. ""Now they know for themselves, that I do not go about to deceive"" (Smith, p. 139). His words suggest the pressure he felt in being the only witness of his remarkable experiences.",3.0
